,race_total_count,census_tract,white_alone_percentage_total,black_or_african_american_alone_percentage_total,american_indian_and_alaska_native_alone_percentage_total,asian_alone_percentage_total,native_hawaiian_and_other_pacific_islander_alone_percentage_total,some_other_race_alone_percentage_total
"Census Tract 59.52, Arapahoe County, Colorado","3,441",08005005952,0.8561464690496948,0.034292356873002035,0.012205754141238012,0.053763440860215055,0.0008718395815170009,0.042720139494333044
"Census Tract 60, Arapahoe County, Colorado","2,384",08005006000,0.8804530201342282,0.02978187919463087,0.01174496644295302,0.012583892617449664,0.0008389261744966443,0.06459731543624161
"Census Tract 61, Arapahoe County, Colorado","2,930",08005006100,0.8593856655290102,0.04812286689419795,0.007508532423208191,0.013651877133105802,0.0017064846416382253,0.0696245733788396
"Census Tract 62, Arapahoe County, Colorado","2,730",08005006200,0.8934065934065935,0.015018315018315019,0.014285714285714285,0.020512820512820513,0.0,0.056776556776556776
"Census Tract 63, Arapahoe County, Colorado","2,371",08005006300,0.9029945170814002,0.012231126107127795,0.012231126107127795,0.017714044706874738,0.0025305778152678194,0.052298608182201604
"Census Tract 64, Arapahoe County, Colorado","2,673",08005006400,0.8151889263000374,0.03666292555181444,0.015712682379349047,0.024317246539468762,0.0,0.10811821922933033
"Census Tract 65.01, Arapahoe County, Colorado","1,895",08005006501,0.9007915567282322,0.014775725593667546,0.014775725593667546,0.02691292875989446,0.002638522427440633,0.04010554089709763
"Census Tract 65.02, Arapahoe County, Colorado","2,983",08005006502,0.922561180020114,0.013744552463962454,0.012738853503184714,0.01340931947703654,0.00033523298692591353,0.0372108615487764
"Census Tract 66.01, Arapahoe County, Colorado","4,748",08005006601,0.7544229149115417,0.04296545914069082,0.02716933445661331,0.02401010951979781,0.0012636899747262005,0.15016849199663015
"Census Tract 66.03, Arapahoe County, Colorado","2,909",08005006603,0.9367480233757305,0.01065658301821932,0.010312822275696116,0.017188037126160193,0.0013750429700928155,0.023719491234101067
"Census Tract 66.04, Arapahoe County, Colorado","3,272",08005006604,0.8407701711491442,0.023838630806845965,0.013753056234718826,0.029034229828850854,0.003667481662591687,0.08893643031784841
"Census Tract 67.04, Arapahoe County, Colorado","4,302",08005006704,0.9386331938633193,0.009298000929800094,0.0018596001859600185,0.04160855416085542,0.0,0.008600650860065086
"Census Tract 67.05, Arapahoe County, Colorado","1,718",08005006705,0.9435389988358557,0.011059371362048894,0.002910360884749709,0.029685681024447033,0.0,0.012805587892898719
"Census Tract 67.06, Arapahoe County, Colorado","4,576",08005006706,0.8843968531468531,0.012674825174825174,0.0015297202797202797,0.07932692307692307,0.0008741258741258741,0.021197552447552448
"Census Tract 67.07, Arapahoe County, Colorado","4,274",08005006707,0.8886289190453908,0.022929340196537203,0.004211511464670099,0.06434253626579317,0.0014038371548900327,0.018483855872718766
"Census Tract 67.08, Arapahoe County, Colorado","4,736",08005006708,0.9125844594594594,0.013302364864864864,0.0023226351351351353,0.05616554054054054,0.0004222972972972973,0.015202702702702704
"Census Tract 67.09, Arapahoe County, Colorado","5,311",08005006709,0.876294483148183,0.015063076633402372,0.003765769158350593,0.0883072867633214,0.0015063076633402373,0.015063076633402372
"Census Tract 67.11, Arapahoe County, Colorado","3,921",08005006711,0.9145626115786789,0.011221627135934711,0.001530221882172915,0.05789339454220862,0.0017852588625350675,0.013006885998469778
"Census Tract 67.12, Arapahoe County, Colorado","1,417",08005006712,0.9280169371912491,0.0077628793225123505,0.0,0.05716302046577276,0.0,0.007057163020465773
"Census Tract 67.13, Arapahoe County, Colorado","1,610",08005006713,0.6434782608695652,0.031677018633540374,0.0012422360248447205,0.2968944099378882,0.0012422360248447205,0.02546583850931677
